station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging,eightd_has_key_dispenser,eightd_station_services,has_kiosk
51,0b102e96-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / King,6052,45.49750375338383,-73.55284452438353,"['CREDITCARD', 'KEY']",70,False,False,False,,True
52,0b102fb4-08f3-11e7-a1cb-3863bb33a4e4,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),6053,45.508204615051355,-73.56881439685822,"['CREDITCARD', 'KEY']",27,False,False,False,,True
55,0b10559b-08f3-11e7-a1cb-3863bb33a4e4,Place du Canada (Peel / de la Gauchetière),6057,45.49788352593901,-73.56856763362885,"['CREDITCARD', 'KEY']",22,False,False,False,,True
56,0b1056fb-08f3-11e7-a1cb-3863bb33a4e4,Cypress / Peel,6058,45.499330334344556,-73.57175691987322,"['CREDITCARD', 'KEY']",27,False,False,False,,True
57,0b10581e-08f3-11e7-a1cb-3863bb33a4e4,de la Cathédrale / René-Lévesque,6059,45.499191207076606,-73.56942057609558,"['CREDITCARD', 'KEY']",43,False,False,False,,True
58,0b105944-08f3-11e7-a1cb-3863bb33a4e4,St-Urbain / René-Lévesque,6060,45.507837541505836,-73.56313616037369,"['CREDITCARD', 'KEY']",33,False,False,False,,True
59,0b105a5b-08f3-11e7-a1cb-3863bb33a4e4,Mansfield / Ste-Catherine,6061,45.501355881957544,-73.57173800468445,"['CREDITCARD', 'KEY']",23,False,False,False,,True
60,0b105b66-08f3-11e7-a1cb-3863bb33a4e4,Drummond / Ste-Catherine,6062,45.49863930330429,-73.57422709465027,"['CREDITCARD', 'KEY']",31,False,False,False,,True
61,0b105c6d-08f3-11e7-a1cb-3863bb33a4e4,Drummond / de Maisonneuve,6063,45.499640998187544,-73.576257401146,"['CREDITCARD', 'KEY']",47,False,False,False,,True
62,0b105d73-08f3-11e7-a1cb-3863bb33a4e4,Métro Peel (de Maisonneuve / Stanley),6064,45.50038,-73.57507,"['CREDITCARD', 'KEY']",49,False,False,False,,True
63,0b105e8d-08f3-11e7-a1cb-3863bb33a4e4,de la Montagne / Sherbrooke,6065,45.500015468871446,-73.57938900589943,"['CREDITCARD', 'KEY']",19,False,False,False,,True
64,0b105f95-08f3-11e7-a1cb-3863bb33a4e4,Quai de la navette fluviale,6067,45.51366626207095,-73.53842496871948,"['CREDITCARD', 'KEY']",19,False,False,False,,True
