date,start_station_code,total_count
2022-10-31,6213.0,1871
2022-10-31,6216.0,4906
2022-10-31,6217.0,1669
2022-10-31,6218.0,1338
2022-10-31,6219.0,2902
2022-10-31,6220.0,1419
2022-10-31,6221.0,4314
2022-10-31,6224.0,1445
2022-10-31,6225.0,541
2022-10-31,6226.0,840
2022-10-31,6227.0,733
2022-10-31,6229.0,1381
2022-10-31,6230.0,822
2022-10-31,6232.0,1408
2022-10-31,6233.0,1307
2022-10-31,6235.0,843
2022-10-31,6236.0,571
2022-10-31,6237.0,459
2022-10-31,6240.0,4327
2022-10-31,6241.0,3285
2022-10-31,6243.0,3885
2022-10-31,6245.0,4397
2022-10-31,6246.0,7559
2022-10-31,6247.0,3182
2022-10-31,6248.0,2139
2022-10-31,6249.0,3144
2022-10-31,6251.0,3268
2022-10-31,6252.0,2216
2022-10-31,6253.0,3450
2022-10-31,6254.0,2911
2022-10-31,6255.0,3211
2022-10-31,6257.0,1936
2022-10-31,6258.0,2030
2022-10-31,6259.0,138
2022-10-31,6260.0,10502
2022-10-31,6261.0,2185
2022-10-31,6262.0,1983
2022-10-31,6263.0,2386
2022-10-31,6265.0,4710
2022-10-31,6266.0,1892
2022-10-31,6267.0,2140
2022-10-31,6268.0,2114
2022-10-31,6269.0,3618
2022-10-31,6272.0,1464
2022-10-31,6276.0,2570
2022-10-31,6277.0,3154
2022-10-31,6278.0,4331
2022-10-31,6279.0,2436
2022-10-31,6280.0,1266
2022-10-31,6281.0,1848
2022-10-31,6301.0,1177
2022-10-31,6305.0,1668
2022-10-31,6306.0,1549
2022-10-31,6307.0,7180
2022-10-31,6309.0,4082
2022-10-31,6310.0,4499
2022-10-31,6311.0,4075
2022-10-31,6312.0,3413
2022-10-31,6313.0,4266
2022-10-31,6314.0,6246
2022-10-31,6315.0,1563
2022-10-31,6316.0,3802
2022-10-31,6321.0,1273
2022-10-31,6324.0,966
2022-10-31,6327.0,2126
2022-10-31,6328.0,1459
2022-10-31,6329.0,5093
2022-10-31,6331.0,5551
2022-10-31,6332.0,1767
2022-10-31,6333.0,4951
2022-10-31,6334.0,5291
2022-10-31,6335.0,3594
2022-10-31,6336.0,1218
2022-10-31,6338.0,433
2022-10-31,6339.0,809
2022-10-31,6340.0,652
2022-10-31,6343.0,788
2022-10-31,6344.0,1470
2022-10-31,6346.0,609
2022-10-31,6347.0,1125
2022-10-31,6349.0,920
2022-10-31,6350.0,930
2022-10-31,6354.0,1166
2022-10-31,6355.0,5703
2022-10-31,6356.0,796
2022-10-31,6357.0,575
2022-10-31,6358.0,2848
2022-10-31,6360.0,1001
2022-10-31,6362.0,817
2022-10-31,6364.0,2003
2022-10-31,6366.0,5111
2022-10-31,6369.0,1580
2022-10-31,6370.0,1230
2022-10-31,6371.0,1092
2022-10-31,6372.0,2346
2022-10-31,6373.0,1574
2022-10-31,6374.0,2264
2022-10-31,6375.0,2057
2022-10-31,6377.0,4576
2022-10-31,6379.0,1171
2022-10-31,6380.0,1706
2022-10-31,6381.0,1657
2022-10-31,6384.0,929
2022-10-31,6386.0,1706
2022-10-31,6387.0,4824
2022-10-31,6388.0,2462
2022-10-31,6391.0,1262
2022-10-31,6393.0,1795
2022-10-31,6394.0,3292
2022-10-31,6395.0,2182
2022-10-31,6396.0,4754
2022-10-31,6398.0,3405
2022-10-31,6402.0,2011
2022-10-31,6403.0,1082
2022-10-31,6404.0,995
2022-10-31,6405.0,578
2022-10-31,6406.0,1079
2022-10-31,6407.0,1030
2022-10-31,6411.0,3025
2022-10-31,6412.0,2308
2022-10-31,6414.0,3758
2022-10-31,6415.0,1379
2022-10-31,6416.0,1283
2022-10-31,6417.0,2608
2022-10-31,6418.0,655
2022-10-31,6419.0,891
2022-10-31,6420.0,1631
2022-10-31,6422.0,628
2022-10-31,6423.0,2979
2022-10-31,6425.0,3677
2022-10-31,6426.0,2633
2022-10-31,6427.0,1784
2022-10-31,6428.0,1465
2022-10-31,6429.0,4058
2022-10-31,6432.0,1525
2022-10-31,6433.0,1009
2022-10-31,6434.0,841
2022-10-31,6435.0,1612
2022-10-31,6436.0,1352
2022-10-31,6502.0,1449
2022-10-31,6503.0,843
2022-10-31,6504.0,856
2022-10-31,6701.0,1340
2022-10-31,6702.0,952
2022-10-31,6705.0,1663
2022-10-31,6707.0,874
2022-10-31,6708.0,616
2022-10-31,6709.0,1355
2022-10-31,6711.0,784
2022-10-31,6712.0,722
2022-10-31,6713.0,1458
2022-10-31,6714.0,2694
2022-10-31,6715.0,3108
2022-10-31,6716.0,3050
2022-10-31,6717.0,2536
2022-10-31,6718.0,2524
2022-10-31,6720.0,901
2022-10-31,6723.0,294
2022-10-31,6724.0,1072
2022-10-31,6725.0,1704
2022-10-31,6726.0,1120
2022-10-31,6727.0,89
2022-10-31,6728.0,843
2022-10-31,6729.0,484
2022-10-31,6730.0,231
2022-10-31,6731.0,550
2022-10-31,6732.0,608
2022-10-31,6733.0,475
2022-10-31,6734.0,423
2022-10-31,6735.0,239
2022-10-31,6736.0,372
2022-10-31,6741.0,55
2022-10-31,6744.0,221
2022-10-31,6746.0,345
